X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
92.2866,108.797,Layer 1,,,,,
92.1455,108.656000026168,Layer 1,,,,,
92.0044,108.515,Layer 1,,,,,
91.86325,108.374000026168,Layer 1,,,,,
91.7221,108.2325,Layer 1,,,,,
91.4399,108.091000026168,Layer 1,,,,,
91.1577,107.95,Layer 1,,,,,
91.0166,107.809000026168,Layer 1,,,,,
90.8755,107.668,Layer 1,,,,,
90.7344,107.527000026168,Layer 1,,,,,
90.5933,107.386,Layer 1,,,,,
90.31105,107.245000026168,Layer 1,,,,,
90.0288,107.386,Layer 1,,,,,
89.46435,107.527000026168,Layer 1,,,,,
88.8999,107.668,Layer 1,,,,,
88.4766,107.809000026168,Layer 1,,,,,
88.0533,107.95,Layer 1,,,,,
87.77105,108.091000026168,Layer 1,,,,,
87.4888,108.2325,Layer 1,,,,,
87.2066,108.374000026168,Layer 1,,,,,
86.9244,108.515,Layer 1,,,,,
86.64215,108.656000026168,Layer 1,,,,,
86.3599,108.797,Layer 1,,,,,
86.0777,108.938000026168,Layer 1,,,,,
85.7955,109.079,Layer 1,,,,,
85.51325,109.220000026168,Layer 1,,,,,
85.231,109.361,Layer 1,,,,,
84.8077,109.502000026168,Layer 1,,,,,
84.3844,109.6435,Layer 1,,,,,
84.10215,109.785000026168,Layer 1,,,,,
83.8199,109.926,Layer 1,,,,,
83.5377,110.067000026168,Layer 1,,,,,
83.2555,110.208,Layer 1,,,,,
82.83215,110.349000026168,Layer 1,,,,,
82.4088,110.49,Layer 1,,,,,
81.9855,110.631000026168,Layer 1,,,,,
81.5622,110.7725,Layer 1,,,,,
80.99775,110.914000026168,Layer 1,,,,,
80.4333,111.055,Layer 1,,,,,
80.00995,111.196000026168,Layer 1,,,,,
79.5866,111.337,Layer 1,,,,,
79.4455,111.478000026168,Layer 1,,,,,
79.3044,111.619,Layer 1,,,,,
79.02215,111.760000026168,Layer 1,,,,,
78.7399,111.901,Layer 1,,,,,
78.5988,112.042000026168,Layer 1,,,,,
78.4577,112.1835,Layer 1,,,,,
78.3166,112.325000026168,Layer 1,,,,,
78.1755,112.466,Layer 1,,,,,
78.0344,112.607000026168,Layer 1,,,,,
77.8933,112.748,Layer 1,,,,,
77.75215,112.889000026168,Layer 1,,,,,
77.611,113.03,Layer 1,,,,,
